Abbreviation/Shorthand,Meaning
IGR-SRS,image-guided robotic stereotactic radiosurgery
IGRA,interferon-gamma release assay
IGRT,image guided radiation therapy
IH,idiopathic hypersomnia
IH,Inguinal Hernia
IHF,intrahepatic fat
IHSS,Idiopathic Hypersomnia Severity Scale
IIA,Internal Iliac Artery
IIH,idiopathic intracranial hypertension
IKDC,International Knee Documentation Committee
IL-13,Interleukin 13
IL-17,Interleukin-17
IL-4,Interleukin 4
IL-4Ra,interleukin 4 receptor
IL-5,Interleukin 5
ILD,interstitial lung disease
ILR,implantable loop recorder
IM,intramuscular
IMA,inferior mesenteric artery
IMA,Internal Mammary Artery
IMH,Intramural Haematoma
IMM,immunomodulator
IMPT,Intensity-Modulated Proton Beam Therapy
IMRT,intensity-modulated radiation therapy
IMS,Intra‐Metatarsal Space
IN,intranasal
indel,insertion-deletion
InflAAA,Inflammatory Abdominal Aortic Aneurysm
INH,Isoniazid
iNKT,invariant natural killer T
INPH,idiopathic normal pressure hydrocephalus
INR,international normalized ratio
IOC,Intraoperative Cholangiogram
IOL,Intraocular Lens
IOM,intraoperative monitoring
IONM,Intraoperative Neurophysiological Monitoring
IOP,Intensive Outpatient Program
IOP,intraocular pressure
IP,interphalangeal
IPA,isopropyl alcohol
IPF,idiopathic pulmonary fibrosis
IPG,implanted pulse generator
IPJ,Intra‐Phalangeal Joint
iPSA,intact prostate specific antigen
IPSET-Thrombosis,International Prognostic Score of Thrombosis for ET
IR,internal rotation
IR,interventional radiology
IR,implantation rate
IRB,institutional review board
IRMA,immunoradiometric assay
IRP,Integrated Relaxation Pressure
IS,insulin sensitivity
ISF,Insulin Sensitivity Factor
ISG,interferon-stimulated gene
ISIB,intrasphincteric injection of Botox
ISR,in-stent restenosis
ISS,idiopathic short stature
ISS,Interspinous Spacer
ISSNHL,idiopathic sudden sensorineural hearing loss
ITI,Inner to Inner
ITP,immune thrombocytopenic purpura
ITR,Inferior Turbinate Reduction
ITT,Intent-to-Treat
ITU,intensive therapy unit
IU,international units
IUD,intrauterine device
IUGR,intrauterine growth restriction
IUP,intrauterine pregnancy
IUPC,intrauterine pressure catheter
IV,intravenous
IVC,inferior vena cava
IVD,intervertebral disc
IVDA,Intravenous Drug Abuse
IVDU,intravenous drug use
IVF,intravenous fluids
IVF,In Vitro Fertilization
IVIG,intravenous immunoglobulin
IVUS,intravascular ultrasound
JAK,janus kinase
JAK-STAT,"janus kinase, signal transducer and activator of transcription protein"
JAKi,JAK inhibitor
JIA,juvenile idiopathic arthritis
JNA,Juvenile nasopharyngeal angiofibroma
JP,Jackson Pratt
JRA,juvenile rheumatoid arthritis
JRAAA,Juxtarenal Abdominal Aortic Aneurysm
K,potassium
KAX,"ketamine, acepromazine, and xylazine"
KCL,potassium chloride
KUB,"kidney, ureter, bladder (x-ray)"
L,left
L&D,labor and delivery
LA,left atrium
LA,leukoaraiosis
LAA ,left atrial appendage
LAAC,left atrial appendage closure
LAAO,left atrial appendage occlusion
LABA,long-acting b2-agonist
LAD,left anterior descending artery
LAD,lymphadenopathy
LAFB,left anterior fascicular block
LAHB,left anterior hemiblock
LAT,large neutral amino acid transporter
LAVH,Laparoscopic Assisted Vaginal Hysterectomy
LBBB,left bundle branch block
LBN,latanoprostene bunod
LBO,large bowel obstruction
LBP,lower back pain
LC,local control
LCIS,lobular carcinoma in situ
LCSW,licensed clinical social worker
LCX,left circumflex (coronary artery)
LD,lumbar drain
LDCT,low-dose computed tomography
LDH,lumbar disc herniation
LDH,lactic acid dehydrogenase
LDL,low density lipoprotein
LDLR,low-density lipoprotein receptor
LDS,Loeyse-Dietz syndrome
LE,leukocyte esterase
LE,lower extremity
LE,lupus erythematosus
LECVD,Lower Extremity Chronic Venous Disease
LELE,Leading Edge to Leading Edge
LEMG,laryngeal electromyography
LES,lower esophageal sphincter
LF,local failure
LFA-1,lymphocyte function-associated antigen-1
LFC,lateral femoral condyle
LFT,liver function test
LH,Laparoscopic Hysterectomy
LH,luteinizing hormone
LHM,laparoscopic Heller myotomy 
LHRH,luteinizing hormone-releasing hormone
LIMA,left internal mammary artery
LITT,Laser Interstitial Thermal Therapy
LLE,left lower extremity
LLL,left lower lobe
LLQ,left lower quadrant
LM,left main coronary artery
LM,laparoscopic myomectomy
LMCA,left main coronary artery stenosis
LMP,last menstrual period
LMT,left main trunk
LMWH,Low Molecular Weight Heparin
LN,lymph node
LND,lymph node dissection
LNF,laparoscopic Nissen fundoplication
LOC,level of care
LOC,level of consciousness
LOC,loss of consciousness
LOCADTR,Level of care for alcohol and drug treatment referral
LOF,loss-of-function
LOMN,letter of medical necessity
LOS,length of stay
LP,lumbar puncture
LPR,Laryngopharyngeal Reflux
LR,likelihood ratio
LSD,lysergic acid diethylamide
LSV,Long Saphenous Vein
LTBI,latent tuberculosis infection
LUE,left upper extremity
LUL,left upper lobe
LUQ,left upper quadrant
LUTS,lower urinary tract symptoms
LV,left ventricle
LVAD,left ventricular assist device
LVEDP,left ventricular end-diastolic pressure
LVEF,left ventricle ejection fraction
LVH,left ventricular hypertrophy
LVO,Large Vessel Occlusion
LVO,Left Ventricular Opacification
M/H,medical history
M/R/G,"murmurs, rubs, gallops"
MAA,Mycotic Aortic Aneurysm
mAbs,monoclonal antibodies
MAC,Mycobacterium avium complex
MAC,monitored anesthesia care
MACE,major adverse cardiac events
MACI,matrix autologous chondrocyte implant 
MAG,myelin-associated glycoprotein
MAI,Mycobacterium avium-intracellulare infection
MALT,mucosa-associated lymphoid tissue
MAO-B,monoamine oxidase B
MAP,mean arterial pressure
MAPK,mitogen-activated protein kinase
MCA,middle cerebral artery
MCH,mean corpuscular hemoglobin
MCHC,mean corpuscular hemoglobin concentration
MCII,minimum clinically important improvement
MCL,medial collateral ligament
MCM,major congenital malformation
MCTD,mixed connective tissue disease
MCTD,Mixed Connective Tissue Disease
MCV,mean corpuscular volume
MD,muscular dystrophy
MDD,major depressive disorder
MDI,metered dose inhaler
MDR,multidrug-resistant
MDS,myelodysplastic syndrome
MECC,Minimal Extracorporeal Circulation
MELAS,"mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes"
MEP,motor evoked potential
MERRF,myoclonic epilepsy with ragged red fibers
MERS,Middle East Respiratory Syndrome
MERS-CoV,Middle East Respiratory Syndrome Coronavirus
MET,motivational enhancement therapy
MET,Metabolic Equivalent
MFC,medial femoral condyle
MFS,metastasis-free survival
Mg,magnesium
MG,myasthenia gravis
MGMT,O[6]-methylguanine-DNA methyltransferase
MgSO₄,Magnesium sulfate
MHOP,mental health outpatient services
MHV,Murine Hepatitis Virus
MI,myocardial infarction
MIP,molecular inversion probe
ML,Microlaryngoscopy
mLAP,mean left atrial pressure
MLD,manual lymphatic drainage
MM,multiple myeloma
MMLV,Moloney murine leukemia virus
MMLV-RT,Moloney murine leukemia virus reverse transcriptase
MMN,multi-focal motor neuropathy
MMSE,mini-mental state examination
MMTP,Methadone Maintenance Treatment Program
MN,midnight
MO,morbid obesity
MODQ,Modified Oswestry Disability Questionnaire
MOG,myelin oligodendrocyte glycoprotein
MOH,medication overuse headache
MOM,milk of magnesia
MOSF,multiple organ system failure
mPCR,multiplex polymerase chain reaction
MPFL,Medial patellofemoral ligament
MPH,methylphenidate
MPJ,Metatarsal Phalangeal Joint
MPL,Medial Patella Luxation
MPN,myeloproliferative neoplasm
MPNST,malignant peripheral nerve sheath tumor
Mpro,main protease
MR,mental retardation
MR,mitral regurgitation
MR-proADM,mid-regional pro-adrenomedullin
MR-SWI,magnetic resonance-susceptibility weighted imaging
MRA,magnetic resonance angiography
MRA,mandibular repositioning appliance
MRC,mitochondrial respiratory chain
MRCP,Magnetic Resonance Cholangiopancreatogram
MRCP,mental retardation with cerebral palsy
MRD,margin to reflex distance
MRI,magnetic resonance imaging
MRM,Modified Radical Mastectomy
mRNA,messenger RNA
MRSA,methicillin-resistant Staphylococcus aureus
MRV,magnetic resonance venogram
MS,mental status
MS,mitral stenosis
MS,morphine sulphate
MS,multiple sclerosis
MS,musculoskeletal
MSA,magnetic sphincter augmentation
MSA,multiple system atrophy
MSAFP,Maternal Serum Alpha-Fetoprotein
MSC,mesenchymal stem cell
MSI,microsatellite instability
MSLT,Multiple Sleep Latency Test
MSSA,methicillin-sensitive Staphylococcus aureus
MTF,male-to-female
MTHFR,methylenetetrahydrofolate reductase
MTP,metatarsophalangeal
MUA,manipulation under anesthesia
MuSK,Muscle-Specific Kinase
MV,mechanical ventilation
MVA,motor vehicle accident
MVC,maximal voluntary contraction
MVD,multi-vessel disease
MVP,mitral valve prolapse
MVR,Mitral Valve Replacement
MVV,Mitral Valve Valvuloplasty
MWS,Mowat-Wilson syndrome
N-MIA,N-methylimidazole acetaldehyde
N-MIAA,N-methylimidazole acetic acid
N/V,nausea or vomiting
Na,sodium
NABS,normal active bowel sounds
NAC,N-acetylcysteine
NAD,no active disease
NAD,no acute distress
NAFL,non‐alcoholic fatty liver
NAFLD,non‐alcoholic fatty liver disease
NAK,numb-associated kinase
nAMD,neovascular age-related macular degeneration
NAS,NAFLD Activity Score
NASH,nonalcoholic steatohepatitis
NAT,nucleic acid testing
NAT,non-accidental trauma
NBCCS,nevoid basal cell carcinoma syndrome
NBNB,"non-bloody, non-bilious"
NBS,no bowel sounds
NBUVB,narrowband ultraviolet B
NC,nasal cannula
NCCAH,non-classical congenital adrenal hyperplasia
NCCN,National Comprehensive Cancer Network
NCI,National Cancer Institute
NCI,National Cancer Institute
nCoV,Novel Coronavirus
NCP,nursing care plan
NCS,nerve conduction study
NCT,national clinical trial
NCV,Nerve Conduction Velocity
NEB,nebulizer
NED,no evidence of disease
NF,Nissen fundoplication
NF1,neurofibromatosis type 1
NG,nasogastric
NGS,next-generation sequencing
NGT,nasogastric tube
NHL,non-Hodgkin's lymphoma
NICM,nonischemic cardiomyopathy
NICU,neonatal intensive care unit
NICVD,National Institute of Cardiovascular Diseases
NIDDM,non-insulin dependent diabetes mellitus
NIH,National Institutes of Health
NIHSS,National Institutes of Health stroke scale
NIPS,noninvasive prenatal screening
NIPT,noninvasive prenatal testing
NK,natural killer
NKA,no known allergies
NKDA,no known drug allergies
nl,normal
NM,nonsense mutation
NMD,neurosurgery for mental disorder
NMDA,N-methyl-D-aspartate
NMH,N-methylhistamine
NMIBC,non-muscle invasive bladder cancer
NMO,Neuromyelitis Optica
NMR,nuclear magnetic resonance
NNT,numbers needed to treat
NOAC,non-vitamin K oral anticoagulants
NOS,not otherwise specified
NPH,Normal Pressure Hydrocephalus
NPN,non-protein nitrogen
NPO,nothing by mouth
NPPV,non-invasive positive pressure ventilation
NPV,negative predictive value
NPWT,negative pressure wound therapy
NRB,non-rebreather mask
NRI,net reclassification improvement
NS,Noonan Syndrome
NS,normal saline
NSAID,nonsteroidal antiinflammatory drug(s)
NSCLC,non-small cell lung cancer
NSML,Noonan syndrome with multiple lentigines
NSQIP,National Surgical Quality Improvement Program
NSR,normal sinus rhythm
NST,Non-Stress Test
NSTEMI,non-ST elevation myocardial infarction
NSVT,non-sustained ventricular tachycardia
NT,non-tender
NT1,narcolepsy type 1
NTD,neural tube defect
NTG,nitroglycerin
NW,normal weight
NWB,non-weight bearing
NXG,Necrobiotic xanthogranuloma
NYHA,New York Heart Association
O&P,ova and parasites
O2,oxygen
OA,orbital atherectomy
OA,osteoarthritis
OAG,open-angle glaucoma
OASAS,NY Office of Alcoholism and Substance Abuse Services
OAT,oral appliance therapy
OATS,osteochondral allograft transplantation surgery 
OB,occult blood
OC,oral contraceptive
OCD,obsessive-compulsive disorder
OCD,osteochondral defects
OCP,oral contraceptive pill
OCT,optical coherence tomography
OCT3,organic cation transporter 3
OD,overdose
OD,right eye
ODD,oppositional defiant disorder
ODG,Official Disability Guidelines
ODI,oxygen desaturation index
OGTT,oral glucose tolerance test
OHCA,out-of-hospital cardiac arrest
OHT,ocular hypertension
OM,Otitis Media
OM,obtuse marginal branch
OM1,obtuse marginal branch 1
OM2,obtuse marginal branch 2
OM3,obtuse marginal branch 3
ONH,optic nerve head
ONLS,Overall Neuropathy Limitation Scale
OPC,oropharyngeal cancer
OPLL,ossification of the posterior longitudinal ligament
OPTN,Organ Procurement and Transplantation Network
OPUS,Oral Passage Understanding Scale
OR,operating room
ORF,open reading frame
ORIF,open reduction internal fixation
OS,left eye
OS,overall survival
OSA,obstructive sleep apnea
OSAS,Obstructive Sleep Apnea Syndrome
OSCC,oropharyngeal squamous cell carcinoma
OSH,outside hospital
OSR,Open Surgical Repair
OT,occupational therapy
OTC,over-the-counter
OTO,Outer to Outer
OTW,over-the-wire
OU,both eyes
OV,office visit
OVB,oral viscous budesonide
OW,overweight
P,pulse
P&A,percussion & auscultation
PA,periapical
PAC,premature atrial complexes
PACU,post anesthesia care unit
PAD,peripheral arterial disease
PAMG-1,placental alpha microglobulin-1
PANDAS,Pediatric Autoimmune Neuropsychiatric Disorders Associated with Streptococcal Infections
PANS,Pediatric Acute-onset Neuropsychiatric Syndrome
PAOD,Peripheral Arterial Occlusive Disease
PAP,positive airway pressure
PAPR,Powered Air Purifying Respirator
PARDS,pediatric acute respiratory distress syndrome
PAS,personal assistance service(s)
PAU,Penetrating Aortic Ulcer
PAWP,pulmonary arterial wedge pressure
PAWS,post-acute-withdrawal syndrome
PBC,primary biliary cholangitis
pBNP,NT-Pro B-Type Natriuretic Peptide
PBP,penicillin-binding protein
PBRT,proton beam radiation therapy
PBS,pencil-beam scanning
PBT,perioperative blood transfusion
PBT,proton beam therapy
PCA,patient controlled analgesia
PCA,personal care aide
PCA,Posterior Carotid Artery
PCa,prostate cancer
PCCM,Pediatric Critical Care Medicine
PCI,percutaneous coronary intervention
PCKD,polycystic kidney disease
PCL,posterior cruciate ligament
PCNL,Percutaneous Nephrolithotomy
PCNSL,primary central nervous system lymphoma
pCO2,partial pressure of carbon dioxide
PCOS,polycystic ovarian syndrome
PCP,pneumocystis pneumonia
PCP,primary care provider
PCR,polymerase chain reaction
PCR,pharyngeal constriction ratio
PCSK9,proprotein convertase subtilisin kexin 9
PCT,procalcitonin
PCU,progressive care unit
PD,postural drainage
PD,Parkinson's disease
PD,Peritoneal Dialysis
PD,pneumatic dilation
PD,progressive disease
PDE4,phosphodiesterase 4
PDN,private duty nursing
PDT,Photodynamic Therapy
PE,physical examination
PE,pulmonary embolism
PE,Pressure Equalizer
PEA,pulseless electrical activity
PEEK,polyaryletherketone
PEEP,positive end expiratory pressure
PEF,peak expiratory flow
PEFR,peak expiratory flow rate
PEG,percutaneous endoscopic gastrostomy
PEMS,Poult Enteritis and Mortality Syndrome
PEP,positive expiratory pressure
PERRL,pupils equal round and reactive to light
PERRLA,"pupils equal, round, and reactive to light and accommodation"
PET,positron emission tomography
PF,peak flow
PFD,pediatric feeding disorder
PFG,patient focus group
PFO,patent foramen ovale
PFPT,pelvic floor physical therapy
PFS,progression-free survival
PFT,pulmonary function test
PGD,preimplantation genetic diagnosis
PGS,preimplantation genetic screening
PGT,Preimplantation Genetic Testing
PGT-A,Preimplantation Genetic Testing for Aneuploidy
PHEIC,Public Health Emergency of International Concern
PHI,Prostate Health Index
PHMM,posterior horn of the medial meniscus
PHP,partial hospitalization program
PHQ,patient health questionnaire
PHV,percutaneously implanted heart valve
Pi,inorganic phosphate
PI,pneumatosis intestinalis
PICC,peripherally inserted central catheter
PICU,pediatric intensive care unit
PID,primary immunodeficiency
PID,pelvic inflammatory disease
PIDD,primary immunodeficiency disease
PIVENS,Pioglitazone versus Vitamin E versus Placebo for the Treatment of Non-diabetic patients with Nonalcoholic steatohepatitis
PK,pharmacokinetic
PKR,Partial Knee Replacement
PKU,phenylketonuria
PLEX,plasma exchange
PLIF,Posterior Lumbar Interbody Fusion
PLS-5,"Preschool Language Scale, Fifth edition"
PLT,platelets
PMA,pilomyxoid astrocytoma
PMAT,plasma membrane monoamine transporter
PMC,polymer-matrix composites
PMDB,Prescription Monitoring Database
PMH,past medical history
PMI,point of maximum impulse (of the heart)
PMN,Polymorphonuclear Leukocytes
PNA,pneumonia
PND,postnasal drainage
PNET,primitive neuroectodermal tumor
PNH,Paroxysmal Nocturnal Hemoglobinuria
PO,by mouth/oral
PO2,partial pressure of oxygen
POD,postoperative day
POEM,Per-Oral Endoscopic Myotomy 
pPCI,primary percutaneous coronary intervention
PPD,purified protein derivative
PPE,personal protective equipment
PPH,Procedure for Prolapsed Hemorrhoids
PPI,proton pump inhibitor
PpIX,protoporphyrin IX
PPM,permanent pacemaker
PPROM,preterm premature rupture of membranes
PPS,posterior probability of superiority
PPV,positive predictive value
PR,progesterone receptor
PR,platelet reactivity
PRBC,packed red blood cells
PRCoV,porcine respiratory coronavirus
PRISMA,Preferred Reporting Items for Systematic Reviews and Meta-Analyses
PRN,as needed
PROM,premature rupture of membranes
PS,pressure support
PS,Parkinsonian syndromes
PSA,prostate specific antigen
PsA,psoriatic arthritis
PSC,primary sclerosing cholangitis
PSG,polysomnogram
PSH,past surgical history
PSI,pneumonia severity index
PSM,positive surgical margins
PSP,progressive supranuclear palsy
PSPT,passive scattering proton therapy
PSV,pressure support ventilation
Pt,patient
PT,physical therapy
PT,prothrombin time
PTA,pure-tone average
PTA,Percutaneous Transluminal Angioplasty
PTA,peritonsillar abscess
PTA,prior to admission
PTCA,Percutaneous Transluminal Coronary Angioplasty
PTE,pulmonary thromboembolism
PTEN,phosphatase and tensin homolog
PTFE,polytetrafluoroethylene
PTH,parathyroid hormone
PTP,protein tyrosine phosphatase
PTS,Parsonage-Turner syndrome
PTSD,post traumatic stress disorder
PTT,partial thromboplastin time
PUD,peptic ulcer disease
PUP,previously untreated patient
PUVA,psoralen and ultraviolet A
PVC,premature ventricular contraction
PVD,peripheral vascular disease
PVP-I,povidone-iodine
PVR,pulse volume recording
PWS,Prader-Willi syndrome
QALY,Quality Adjusted Life Years
QAM,every morning
QD,every day/daily
QH,every hour/hourly
QHP,Qualified Healthcare Professional
QHS,every night/nightly
QID,four times per day
QN,every night/nightly
QOD,every other day
QoL,quality of life
qPCR,quantitative polymerase chain reaction
QXH,every X hours
R,right
R/O,rule out
R0,reproduction number
RA,rheumatoid arthritis
RA,right atrium
RA,room air
RA,rotational atherectomy
rAAA,Ruptured Abdominal Aortic Aneurysm
RAC,recovery audit contractor
RAS,resistance-associated substitution
RasGEF,Ras guanine nucleotide exchange factor
RBAS,radiosurgery-based AVM score
RBBB,right bundle branch block
RBC,red blood cells
RBC,red blood count
RC,radical cystectomy
RCA,right coronary artery
RCC,renal cell carcinoma
RCG,radiocardiography
RCM,reflectance confocal microcopy
RCM,reflectance confocal microscopy
RCT,randomized controlled trial
RCT,rotator cuff tear
RD,retinal detachment
RDI,respiratory disturbance index
RDS,respiratory distress syndrome
REM,rapid eye movement
RETU,Rapid Evaluation and Treatment Unit
RF,risk factor
RFA,radiofrequency ablation
RFA,right femoral artery
RFS,Reflux Finding Score
RFS,recurrence-free survival
RFT,renal function test
RFVTA,radiofrequency volumetric thermal ablation
Rh,rhesus factor
RIC,radiation-induced change
RIMA,right internal mammary artery
RIS,reflux injury score
RITLS,Rossetti Infant-Toddler Language Scale
RLE,right lower extremity
RLL,right lower lobe
RLQ,right lower quadrant
RML,right middle lobe
RMS,relapsing multiple sclerosis
RNA,ribonucleic acid
RNFL,retinal nerve fiber layer
RNP,ribonucleoprotein
ROC,receiver operating characteristic
ROM,range of motion
ROM,rupture of membranes
ROS,review of systems
ROSC,return of spontaneous circulation
RP,radiation pneumonitis
RP PCR,respiratory polymerase chain reaction
RPE,retinal pigment epithelium
RPG,Retrograde Pyelogram
RPL,recurrent pregnancy loss
RPLV,right posterolateral ventricular branch
RPR,rapid plasma regain
RPT,Rifapentine
RR,respiratory rate
RRR,regular rate and rhythm
RRT,renal replacement therapy
rRT-PCR,real-time reverse transcriptase polymerase chain reaction
RSD,reflex sympathetic dystrophy
RSV,respiratory syncytial virus
RT,radiation therapy
RT,respiration therapy
RT-PCR,reverse transcription polymerase chain reaction
RTK,receptor tyrosine kinase
rTMS,repetitive transcranial magnetic stimulation
RTOG,Radiation Therapy Oncology Group
RUE,right upper extremity
RUL,right upper lobe
RUQ,right upper quadrant
rUTI,recurrent urinary tract infection
RV,right ventricle
RVFWS,RV free wall longitudinal systolic strain
RVP,respiratory viral panel
RVR,rapid ventricular response
S/P,status post
SAB,spontaneous abortion
SABR,spontaneous abortion rate
SACH,"solid ankle, cushioned heel"
SAD,seasonal affective disorder
SAE,serious adverse event
SAEF,Secondary Aortoenteric Fistula
SALT,Severity of Alopecia Tool
SAMe,S-adenosylmethionine
SARI,Severe Acute Respiratory Infections
SARS,severe acute respiratory syndrome
SARS-CoV,severe acute respiratory syndrome coronavirus
SARS-CoV-2,Severe Acute Respiratory Syndrome Coronavirus-2 Virus
sat,saturation
SAVR,surgical aortic valve replacement
SB,small bowel
SBFT,small bowel follow through
SBO,small bowel obstruction
SBP,spontaneous bacterial paracentesis
SBP,systolic blood pressure
SBRT,Stereotactic Body Radiation Therapy
SC,subcutaneous
SC,Sydenham chorea
SCA,superior cerebellar artery
SCC,squamous cell carcinoma
SCD,sudden cardiac death
SCEP,spinal cord evoked potentials
SCI,spinal cord injury
SCIg,subcutaneous immunoglobulin
SCS,spinal cord stimulator
SD,standard deviation
SDB,sleep disordered breathing
SDH,subdural hematoma
SDS,standard deviation score
SECD,Swine Enteric Coronavirus Disease
sEMG,surface electromyography
SEP,somatosensory evoked potential
SERM,selective-estrogen receptor modulator
SES-CD,Simple Endoscopic Score for Crohn Disease
SFA,superficial femoral artery
SG,sleeve gastrectomy
SGLT-2,sodium-glucose cotransporter-2
SGOT,serum glutamic oxaloacetic transaminase
SGPT,serum glutamic pyruvic transaminase
SHBG,Sex Hormone Binding Globulin
SI,sacroiliac
SI,suicidal ideation
SIBO,small intestinal bacterial overgrowth
SIDS,sudden infant death syndrome
SIJ,sacroiliac joint
SIMV,synchronized intermittent mandatory ventilation
siRNA,small interfering RNA
SIRS,Systemic Inflammatory Response Syndrome
SIRT,selective internal radiation therapy
SL,stool lactoferrin
SL,sublingual
SLE,systemic lupus erythematosus
SLNB,sentinel lymph node biopsy
SLP,speech and language pathology
SLRT,Straight Leg Raising Test
SM grade,Spetzler-Martin grade
SMA,smooth muscle antibody
SMA,spinal muscular atrophy
SMA,Superior Mesenteric Artery
SMART,Self-Management and Recovery Training
SMART,Sepsis Management Alert Response Team
SMBG,Self-Monitoring of Blood Glucose
SMILE,submucosal minimally invasive lingual excision
SNC1,serum nadir creatinine level in the first year of life
SND,sinus node dysfunction
SNF,skilled nursing facility
SNP,Single Nucleotide Polymorphism
SNRI,serotonin-norepinephrine reuptake inhibitor
SNV,single nucleotide variant
SOAP,"subjective, objective, assessment, plan"
SOB,shortness of breath
SOD,sinus ostial dilation
SOS,Son of Sevenless
SPCCT,spectral photon-counting CT
SPECT,single photon emission computed tomography
SpO2,pulse oximetry
SQ,subcutaneous
SR,survival rate
SRAAA,Suprarenal Abdominal Aortic Aneurysm
SRBD,sleep related breathing disorders
SROM,spontaneous rupture of membranes
SRP,signal recognition peptide
SRS,stereotactic radiosurgery
SSD,splice-site disruptions
SSED,summary of safety and effectiveness data
SSEP,spinal somatosensory evoked potential
SSI,supplemental security income
SSIS,Social Skills Improvement System
SSR,showed sinus rhythm
SSRI,selective serotonin reuptake inhibitor
ST,stent thrombosis
STAT,signal transducer and activator of transcription
STAT,signal transducer and activator of transcription
STEMI,ST elevation myocardial infarction
STRN,Soft tissue radionecrosis
STS,soft tissue sarcoma
STS,Society of Thoracic Surgeons
STSG,Split Thickness Skin Graft
SUD,substance use disorder
SUVmax,Maximum Standard Uptake Value
SVC,superior vena cava
SVD,single vessel disease
SVD,spontaneous vaginal delivery
SVG,saphenous vein graft
SVR,sustained virologic response
SVT,supraventricular tachycardia
SW,social work
SW,stab wound
SWI,Susceptibility Weighted Imaging
SWS,Sturge–Weber syndrome
Sx,symptoms
T,temperature
T Bili,total bilirubin
t-EMG,triggered EMG
t-MeHa,tele‐methylhistamine
T&A,tonsillectomy and adenoidectomy
T1DM,type 1 Diabetes Mellitus
T2DM,type 2 Diabetes Mellitus
T3,Triiodothyronine
T4,Thyroxine
TA,tibialis anterior
TAAA,Thoracoabdominal Aortic Aneurysm
TAH,total abdominal hysterectomy
TAVI,transcatheter aortic valve implantation
TAVR,transcatheter aortic valve replacement
TB,tuberculosis
TBI,traumatic brain injury
TBS,tris buffered saline
TCA,tricyclic antidepressant
TCAR,transcarotid artery revascularization
TCC,Transitional Cell Carcinoma
TCR,T cell receptor
TEE,transesophageal echocardiogram
TEM,Effector memory T
TEM,Transanal Endoscopic Microsurgery
TENS,transcutaneous electrical nerve stimulation
TEP,tumor educated platelet
TFA,transcervical fibroid ablation
TFCAS,transfemoral carotid artery stenting
TFI,transfemoral intervention
TG,triglycerides
TGEV,transmissible gastroenteritis virus
TGI,tracheal gas insufflation
THA,total hip arthroplasty
THC,tetrahydrocannabinol
THR,total hip replacement
TIA,transient ischemic attack
TIBC,total iron-binding capacity
TID,three times per day
TIMI,thrombolysis in myocardial infarction
TIPS,transjugular intrahepatic portosystemic shunt
TKA,total knee arthroplasty
TKI,Tyrosine Kinase Inhibitor
TKO,to keep open
TKR,total knee replacement
TLIF,Transforaminal Lumbar Interbody Fusion
TLR,Toll‐like receptors
TM,tympanic membrane (eardrum)
TMA,transmetatarsal amputation
tMax,temperature maximum
TMB,tumor mutational burden
TMJ,temporomandibular joint
TMN,tuberomammillary nucleus
TMR,Transmyocardial Revascularization
TMS,transcranial magnetic stimulation
TN,true negative
TNE,transnasal esophagoscopy
TNF,tumor necrosis factor
TNF-α,tumor necrosis factor alpha
TNM,Tumor-Node-Metastasis
TOF,tetralogy of fallot
TONIC,treatment of nonalcoholic fatty liver disease in children
TORCH,"Toxoplasmosis, Other (syphilis, varicella-zoster, parvovirus B19), Rubella, Cytomegalovirus (CMV), and Herpes"
TP,total protein
TP,true positive
TPA,tissue plasminogen activator
TPA,total parenteral alimentation
TPE,therapeutic plasma exchange
TPN,Total Parenteral Nutrition
TPO,thrombopoietin
TPR,"temperature, pulse, respiration"
tPSA,total prostate specific antigen
TRALI,transfusion-related acute lung injury
TRD,tongue retaining device
TRI,trans-radial intervention
TRM,resident memory T
TRM,tissue-resident memory
TRS,transcription regulatory sequence
TRUS,Transrectal Ultrasound
TSH,thyroid stimulating hormone
TSS,therapeutic staff support
TSS-NS,therapeutic staff support non-school
TSS-S,therapeutic staff support in school
tSSS,transformed Symptom Severity Score
TTE,Transthoracic Echocardiogram
TTF,tumor treating fields
TTP,tender to palpitation
TTP,Thrombotic Thrombocytopenic Purpura
TTP,tissue tolerable plasmas
TTS,through-the-scope
TURBT,Transurethral Resection of Bladder Tumor
TURP,Transurethral resection of prostate gland
TVC,true vocal cord
TVF,target vessel failure
TVP,transvenous pacemaker
TVR,Tricuspid Valve Replacement
TVUS,Transvaginal Ultrasound
TVV,Tricuspid Valve Valvuloplasty
Tx,treatment
TZD,Thiazolidinediones
UA,urinalysis
UAE,uterine artery embolization
UAS,Uniform Assessment System
UAS,upper airway stimulation
UC,ulcerative colitis
UCx,urine culture
UDCA,Ursodeoxycholic Acid
UDS,urine drug screen
UE,unplanned extubation
UFE,uterine fibroid embolization
UGI,upper gastrointestinal
ULN,upper limits of normal
UM,uveal melanoma
UNE,ulnar neuropathy at the elbow
UO,urinary output
UPD,uniparental disomy
upE,region upstream of the E gene
UPF,uvulopalatal flap
UPJ,Ureteropelvic Junction
UPPP,uvulopalatopharyngoplasty
URI,upper respiratory infection
US,ultrasound
uSAID,undifferentiated Systemic Autoinflammatory Disease
uSAID,undifferentiated Systemic Autoinflammatory Disease
USOH,usual state of health
USPSTF,US Preventive Services Task Force
UST,ustekinumab
UTI,urinary tract infection
UV,ultraviolet
